City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
105,Nanortalik,GL,60.1432,-45.2371,25.41,80,78,24.92,broken clouds
106,Bom Jesus,BR,-9.0744,-44.3586,73.36,94,100,2.46,overcast clouds
107,Champa,IN,22.05,82.65,70.21,31,0,3.91,clear sky
108,Ibra,OM,22.6906,58.5334,64.15,54,2,1.72,clear sky
109,Arlit,NE,18.7369,7.3853,64.51,10,56,4.92,broken clouds
110,Kassala,SD,15.451,36.4,71.65,47,0,6.67,clear sky
111,Marrakesh,MA,31.6315,-8.0083,46.47,66,0,3.44,clear sky
112,Saint-Philippe,RE,-21.3585,55.7679,83.21,75,83,12.77,light rain
113,Lebu,CL,-37.6167,-73.65,51.75,89,34,6.51,scattered clouds
114,Qaanaaq,GL,77.484,-69.3632,-1.44,64,0,7.02,clear sky
115,Nioro,GM,13.35,-15.75,70.92,72,23,5.08,few clouds
116,Taree,AU,-31.9,152.4667,77.05,60,40,16.11,scattered clouds
117,Haines Junction,CA,60.7522,-137.5108,1.06,97,100,3.83,overcast clouds
118,Laguna,US,38.421,-121.4238,51.98,76,1,1.01,clear sky
119,Tubuala,PA,9.5167,-79.0333,78.33,80,66,13.4,broken clouds
120,Vao,NC,-22.6667,167.4833,79.0,88,99,20.36,overcast clouds
121,Fukuchiyama,JP,35.3,135.1167,57.49,54,99,9.82,overcast clouds
122,Brits,ZA,-25.6347,27.7802,70.81,75,100,2.19,light rain
123,Alyangula,AU,-13.8483,136.4192,91.62,41,66,6.17,broken clouds
124,Fortuna,US,40.5982,-124.1573,48.36,72,90,1.99,moderate rain
125,Diffa,NE,13.3154,12.6113,67.01,26,50,9.82,scattered clouds
126,Tasiilaq,GL,65.6145,-37.6368,37.56,67,100,28.41,overcast clouds
127,Saskylakh,RU,71.9167,114.0833,-45.65,100,70,1.81,broken clouds
128,Melfi,IT,40.9965,15.6514,41.49,92,100,13.58,overcast clouds
129,Gold Coast,AU,-28.0,153.4333,82.38,63,28,17.27,scattered clouds
130,Padang,ID,-0.9492,100.3543,86.05,73,100,3.51,overcast clouds
131,Vaini,TO,-21.2,-175.2,84.36,84,20,6.91,light rain
132,Dyurtyuli,RU,55.4911,54.8688,7.25,94,5,3.78,clear sky
133,Hovd,MN,48.0056,91.6419,9.05,61,0,0.34,clear sky
134,Margate,GB,51.3813,1.3862,52.97,91,99,3.0,overcast clouds
135,Xai-Xai,MZ,-25.0519,33.6442,79.66,63,23,7.96,few clouds
136,Taft,IR,31.7471,54.2088,33.75,60,0,2.3,clear sky
137,Khatanga,RU,71.9667,102.5,-46.21,100,50,3.62,scattered clouds
