City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
461,Daru,PG,83.28,overcast clouds,-9.0763,143.2092,Daru Lodge
466,Mount Gambier,AU,84.4,clear sky,-37.8333,140.7667,The Commodore
471,Ler,SS,74.34,clear sky,8.3018,30.1418,
472,Bluefields,NI,74.66,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
478,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
483,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
485,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
487,Wanning,CN,77.23,clear sky,18.8003,110.3967,Paradise Hotel
492,Palu,ID,85.86,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
505,Myitkyina,MM,74.98,clear sky,25.3833,97.4,Shwe Phyu Hotel
506,Mamallapuram,IN,82.45,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
509,Broken Hill,AU,86.81,clear sky,-31.95,141.4333,Royal Exchange Hotel
510,Paranhos,BR,78.33,overcast clouds,-23.8928,-55.4311,Hotel Saron
511,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
519,Moree,AU,86.02,broken clouds,-29.4667,149.85,Molika Springs Motel
524,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
525,Champerico,GT,79.03,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
528,Sao Joao De Pirabas,BR,78.8,few clouds,-0.7747,-47.1772,POUSADA SOL E MAR
532,Mahuva,IN,76.39,clear sky,21.0914,71.7622,Hotel Blue Diamond.
535,Zhuhai,CN,77.72,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
536,Moroni,KM,82.4,scattered clouds,-11.7022,43.2551,Hotel les Arcades
537,Grand-Lahou,CI,78.66,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
548,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
551,Dwarka,IN,75.31,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
570,Kuliyapitiya,LK,85.1,scattered clouds,7.4688,80.0401,Rest House
573,Manacapuru,BR,75.78,light rain,-3.2997,-60.6206,Novo Hotel
577,Shoranur,IN,85.01,few clouds,10.7667,76.2833,CT Tourist Home Hotel
579,Buala,SB,83.34,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
587,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
590,Urucara,BR,75.74,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
591,Thanh Hoa,VN,77.58,scattered clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
595,Floresta,BR,78.33,scattered clouds,-8.6011,-38.5686,Hotel Floresta
596,Santa Cruz Cabralia,BR,77.23,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
608,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
614,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
620,Kalmunai,LK,83.08,scattered clouds,7.4167,81.8167,VS Villa
621,Mogadishu,SO,78.04,scattered clouds,2.0371,45.3438,Hotel Juba
625,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
626,Isla Mujeres,MX,77.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
628,Teahupoo,PF,76.96,broken clouds,-17.8333,-149.2667,Vanira Lodge
631,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
633,Santa Rosa,PH,86.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
634,Lhokseumawe,ID,83.3,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
641,Tigre,AR,75.29,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
644,Limbe,CM,76.05,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
645,Jardim,BR,77.38,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
